Year,Canton ID,Canton,Type of tax,Taxable entity,Tax authority,For the next CHF,Additional %
2025,1,ZH,Wealth tax,"Single, no children",Canton,"80,000",0.00
2025,1,ZH,Wealth tax,"Single, no children",Canton,"238,000",0.05
2025,1,ZH,Wealth tax,"Single, no children",Canton,"399,000",0.10
2025,1,ZH,Wealth tax,"Single, no children",Canton,"636,000",0.15
2025,1,ZH,Wealth tax,"Single, no children",Canton,"956,000",0.20
2025,1,ZH,Wealth tax,"Single, no children",Canton,"953,000",0.25
2025,1,ZH,Wealth tax,"Single, no children",Canton,"99,999,999",0.30
2025,1,ZH,Wealth tax,"Married/Single, with children",Canton,"159,000",0.00
2025,1,ZH,Wealth tax,"Married/Single, with children",Canton,"239,000",0.05
2025,1,ZH,Wealth tax,"Married/Single, with children",Canton,"397,000",0.10
2025,1,ZH,Wealth tax,"Married/Single, with children",Canton,"637,000",0.15
2025,1,ZH,Wealth tax,"Married/Single, with children",Canton,"955,000",0.20
2025,1,ZH,Wealth tax,"Married/Single, with children",Canton,"955,000",0.25
2025,1,ZH,Wealth tax,"Married/Single, with children",Canton,"99,999,999",0.30
2025,1,ZH,Income tax,"Single, no children",Canton,"6,900",0
2025,1,ZH,Income tax,"Single, no children",Canton,"4,900",2
2025,1,ZH,Income tax,"Single, no children",Canton,"4,800",3
2025,1,ZH,Income tax,"Single, no children",Canton,"7,900",4
2025,1,ZH,Income tax,"Single, no children",Canton,"9,600",5
2025,1,ZH,Income tax,"Single, no children",Canton,"11,000",6
2025,1,ZH,Income tax,"Single, no children",Canton,"12,900",7
2025,1,ZH,Income tax,"Single, no children",Canton,"17,400",8
2025,1,ZH,Income tax,"Single, no children",Canton,"33,600",9
2025,1,ZH,Income tax,"Single, no children",Canton,"33,200",10
2025,1,ZH,Income tax,"Single, no children",Canton,"52,700",11
2025,1,ZH,Income tax,"Single, no children",Canton,"68,400",12
2025,1,ZH,Income tax,"Single, no children",Canton,"99,999,999",13
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"13,900",0
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"6,300",2
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"8,000",3
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"9,700",4
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"11,100",5
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"14,300",6
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"31,800",7
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"31,900",8
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"47,900",9
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"57,200",10
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"62,100",11
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"71,600",12
2025,1,ZH,Income tax,"Married/Single, with children",Canton,"99,999,999",13
